estado,anio,periodo,fecha,metric,indicador,fuente,valor
Aguascalientes,2010,6 Meses,2010-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,15162.0
Aguascalientes,2010,9 Meses,2010-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,15422.0
Aguascalientes,2010,Anual,2010-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,15521.0
Aguascalientes,2011,T1,2011-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,16177.0
Aguascalientes,2011,T2,2011-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,15760.0
Aguascalientes,2011,T3,2011-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,16212.0
Aguascalientes,2011,T4,2011-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,16744.0
Aguascalientes,2011,6 Meses,2011-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,15969.0
Aguascalientes,2011,9 Meses,2011-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,16050.0
Aguascalientes,2011,Anual,2011-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,16223.0
Aguascalientes,2012,T1,2012-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,15990.0
Aguascalientes,2012,T2,2012-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,16791.0
Aguascalientes,2012,T3,2012-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,16689.0
Aguascalientes,2012,T4,2012-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,18079.0
Aguascalientes,2012,6 Meses,2012-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,16391.0
Aguascalientes,2012,9 Meses,2012-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,16490.0
Aguascalientes,2012,Anual,2012-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,16887.0
Aguascalientes,2013,T1,2013-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,17244.0
Aguascalientes,2013,T2,2013-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,17501.0
Aguascalientes,2013,T3,2013-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,16815.0
Aguascalientes,2013,T4,2013-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,17971.0
Aguascalientes,2013,6 Meses,2013-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,17373.0
Aguascalientes,2013,9 Meses,2013-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,17187.0
Aguascalientes,2013,Anual,2013-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,17383.0
